NOMBRE,CVE_ESTADO,CVE_MPIO,distancia_km,Hectares,NOM_NA
CACAHUATAL,30,069,0.5848982444422415,,CACAHUATAL
RIACHUELOS,30,158,1.5004538937016325,,RIACHUELOS
PLAN DE VILLA CUAUHTEMOC,30,158,0.9124784445819911,,PLAN DE VILLA CUAUHTEMOC
PORTUGUES,30,069,3.5583264889765056,,PORTUGUES
SAN MIGUEL,30,069,1.6761793848252764,,SAN MIGUEL
PASO HIDALGO,30,158,2.9124954830144096,,PASO DE HIDALGO
PASO REAL,30,158,3.502109349239274,,PASO REAL
LA GUADALUPE,30,158,2.174791734797883,,LA AGUADA O CANDIDO AGUILAR
RIACHUELOS,30,158,1.896452701794962,,RIACHUELOS
FLORES MAGON,30,158,0.15278359072491643,,FLORES MAGON
LA VIGUETA,30,158,0.6319563487316224,,LA VIGUETA
FLORES MAGON,30,158,4.633483383925336,,FLORES MAGON
LA VIGUETA,30,158,0.2094944867765231,,LA VIGUETA
MONTE GORDO,30,158,1.5639530026547797,,MONTE GORDO
CASITAS,30,158,1.9274621992444905,,CASITAS
MONTE GORDO,30,158,0.6003704828585065,,MONTE GORDO
MONTE GORDO,30,158,0.2437996791659326,,MONTE GORDO
MONTE GORDO,30,158,1.6323392701498405,,MONTE GORDO
CASITAS,30,158,1.8045394713179745,,CASITAS
NAUTLA,30,114,0.6815868653583002,,NAUTLA
NAUTLA,30,114,1.968128383494347,,NAUTLA
NAUTLA,30,114,0.31690787253426494,,NAUTLA
NAUTLA,30,114,0.04099654493289768,,NAUTLA
ALTILLO BARRA DE PALMAS,30,114,1.2843226099799305,,"ALTILLO, BARRA DE PALMAS"
EL LAUREL,30,192,1.3684222649293536,,EL LAUREL
EL LAUREL,30,192,2.418244898874061,,EL LAUREL
EL LAUREL,30,192,2.610322018647717,,EL LAUREL
APARICIO Y SU ANEXO EL DIAMANTE,30,192,0.5461450472570217,,APARICIO Y SU ANEXO EL DIAMANTE
LAS HIGUERAS,30,192,1.0586812464337145,,LAS HIGUERAS
VEGA DE ALATORRE,30,192,0.19332920350096314,,VEGA DE ALATORRE
VEGA DE ALATORRE,30,192,0.14199685173255278,,VEGA DE ALATORRE
LECHUGUILLAS,30,192,3.303139358168747,,LECHUGUILLA
EMILIO CARRANZA,30,192,1.8859200148251976,,SANTA BARBARA
EL TACAHUITE,30,192,2.1708892419712216,,EL TACAHUITE
LECHUGUILLAS,30,192,1.8939404519410337,,LECHUGUILLA
EMILIO CARRANZA,30,192,2.2536294307744122,,SANTA BARBARA
EMILIO CARRANZA,30,192,0.17394362195109667,,SANTA BARBARA
EMILIO CARRANZA,30,192,1.7219522959327682,,SANTA BARBARA
RANCHO NUEVO,30,192,1.3711923067643694,,RANCHO NUEVO
SANTA ANA,30,009,0.9390770653206199,,SANTA ANA
SANTA ANA,30,009,0.7728229158171475,,SANTA ANA
TINAJITAS Y ANEXO PALMAS DE ARRIBA,30,004,0.21587636576688884,,TINAJITAS Y ANEXO PALMAS DE ARRIBA
TINAJITAS Y ANEXO PALMAS DE ARRIBA,30,004,0.5453306504316664,,TINAJITAS Y ANEXO PALMAS DE ARRIBA
PALMAS DE ABAJO,30,004,0.6289640169582024,,PALMAS DE ABAJO
PASO DEL CEDRO,30,004,0.3452106186563286,,PASO DEL CEDRO
VIRGILIO URIBE ANTES SAN ISIDRO,30,004,0.794832023369033,,VIRGILIO URIBE ANTES SAN ISIDRO
MOZOMBOA,30,004,5.844717304433765,,MOZOMBOA
VIRGILIO URIBE ANTES SAN ISIDRO,30,004,0.3772668254833239,,VIRGILIO URIBE ANTES SAN ISIDRO
REAL DEL ORO,30,004,3.0925003822233226,,REAL DEL ORO
VIRGILIO URIBE ANTES SAN ISIDRO,30,004,0.8810685792317969,,VIRGILIO URIBE ANTES SAN ISIDRO
PASO DE DO?A JUANA,30,191,2.7240369953494827,,PASO DE DOÑA JUANA
VIRGILIO URIBE ANTES SAN ISIDRO,30,004,0.6058517974984541,,VIRGILIO URIBE ANTES SAN ISIDRO
LOS HORNITOS,30,004,3.489117236441921,,LOS HORNITOS
EL PARAISO,30,191,3.105241750004728,,PARAISO ANTES LA CHARCA
ZEMPOALA,30,191,1.6898228805478097,,EL AGOSTADERO
URSULO GALVAN,30,191,1.70366984231432,,URSULO GALVAN
EL PORVENIR,30,191,2.1911685039831834,,EL PORVENIR
PASO DEL BOBO Y EL ARENAL,30,191,0.19940665499358556,,PASO DEL BOBO Y EL ARENAL
PASO DEL BOBO Y EL ARENAL,30,191,0.7580727708791718,,PASO DEL BOBO Y EL ARENAL
EL PORVENIR,30,191,1.6143541562425623,,EL PORVENIR
LA GLORIA,30,191,1.3975333499825056,,LA GLORIA
EL LIMONCITO,30,191,1.0510145699626356,,EL LIMONCITO
URSULO GALVAN,30,191,2.842480484688718,,URSULO GALVAN
EL LIMONCITO,30,191,0.16683498522889023,,EL LIMONCITO
COLONIA FRANCISCO I. MADERO,30,134,0.2907698353296472,,COLONIA FRANCISCO I. MADERO
EL CIRUELO,30,191,1.4124081534831954,,EL CIRUELO
URSULO GALVAN,30,191,2.846175315504898,,URSULO GALVAN
EL CIRUELO,30,191,1.481298669351879,,EL CIRUELO
URSULO GALVAN,30,191,1.924826492476842,,URSULO GALVAN
JOSE CARDEL,30,016,1.5031094773966587,,JOSE CARDEL
EL MODELO,30,016,2.0015702897512995,,EL MODELO
JOSE CARDEL,30,016,1.8422678305946705,,JOSE CARDEL
EL MODELO,30,016,0.8926149136872946,,EL MODELO
NICOLAS BLANCO,30,016,1.4999822775130103,,NICOLAS BLANCO
EL MODELO,30,016,1.6520151482479397,,EL MODELO
CABEZAS,30,134,2.022111804991845,,CABEZAS
JOSE CARDEL,30,016,0.274267167332096,,JOSE CARDEL
PLAYA ORIENTE,30,016,0.6137540269570777,,PLAYA ORIENTE
NICOLAS BLANCO,30,016,0.35200937062966,,NICOLAS BLANCO
NICOLAS BLANCO,30,016,0.34406425253216133,,NICOLAS BLANCO
MATA GRANDE,30,126,1.7079560274490961,,MATA GRANDE Y ANEXOS
JOSE CARDEL,30,016,0.89004639314724,,JOSE CARDEL
LA ANTIGUA,30,016,1.3352150586834644,,LA ANTIGUA
SALMORAL,30,016,1.1258788588057895,,SALMORAL
SALMORAL,30,016,3.2980047116135776,,SALMORAL
JOSE INGENIEROS,30,016,1.2873823045347712,,JOSE INGENIEROS
LA POSTA,30,016,0.8329168950304785,,LA POSTA
JOSE INGENIEROS,30,016,0.5764365363002633,,JOSE INGENIEROS
LA POSTA,30,016,1.0926947072535478,,LA POSTA
LA POSTA,30,016,2.3602909833034142,,LA POSTA
JOSE INGENIEROS,30,016,1.6457321832865066,,JOSE INGENIEROS
LA ANTIGUA,30,016,1.4980994263762117,,LA ANTIGUA
JOSE INGENIEROS,30,016,1.2033223794889683,,JOSE INGENIEROS
LA PUREZA,30,016,2.9514794073535975,,LA PUREZA
EL HATILLO,30,016,3.2930994277539183,,EL HATILLO
LOMA IGUANA,30,016,2.695403396918122,,LOMA IGUANA
SANTA FE Y ANEXOS,30,193,1.12543752952358,,SANTA FE
SANTA FE Y ANEXOS,30,193,2.3243367384794515,,SANTA FE
SANTA FE Y ANEXOS,30,193,0.44764030902673724,,SANTA FE
MALIBRAN,30,193,2.404492374958872,,MALIBRAN
PASO DE SAN JUAN,30,193,1.3593880641494895,,PASO DE SAN JUAN
VALENTE DIAZ (ANTES TEJERIA),30,193,2.26938849600497,,VALENTE DIAZ ANTES TEJERIA
VALENTE DIAZ (ANTES TEJERIA),30,193,1.6137099990149402,,VALENTE DIAZ ANTES TEJERIA
CABO VERDE Y CA?OS DE SANTA RITA,30,193,3.1260899629010113,,CABO VERDE Y CAÑOS DE SANTA RITA
SANTA RITA,30,193,2.6273475772013493,,SANTA RITA
MALIBRAN,30,193,1.4535137087755514,,MALIBRAN
VALENTE DIAZ (ANTES TEJERIA),30,193,0.05171095406719099,,VALENTE DIAZ ANTES TEJERIA
DOS LOMAS,30,193,0.005423113135869545,,DOS LOMAS
MATA COCUITE,30,193,1.7451193965390541,,MATA COCUITE
EL CEDRAL,30,105,2.1931198537117895,,EL CEDRAL
